channel,message_id,timestamp_utc,direction,symbol,entry_stated,entry_price,tp1,tp2,tp3,sl,outcome,exit_time_utc,exit_price,points_gross,cost_points,points_net,risk_points,pips_net,r_multiple,basis_points,entry_mode,slippage_points,outcome_iso,points_net_iso,r_multiple_iso,model_version,bars_held,same_candle_conflict,tp2_hit,tp3_hit,best_price_reached,scored_at_utc
@fxtradingvision,84212,2026-09-02T14:09:23Z,LONG,XAUUSD,4394.0,4437.8,4398.0,4399.0,4430.0,4370.0,LOSS,2026-09-02T15:15:00Z,4418.5,-19.3,3.0,-22.3,67.7998,-223.0,-0.329,48.5,market,-4.7,WIN,1.0,0.042,2-basis-dual,14,no,yes,yes,4444.4,2026-09-21T11:04:47Z
@fxtradingvision,84239,2026-09-03T08:11:14Z,LONG,XAUUSD,4434.0,4477.3,4438.0,4439.0,4480.0,4310.0,WIN,2026-09-03T08:45:00Z,4486.1,8.8,3.0,5.8,167.2998,58.0,0.035,48.1,market,-4.8,WIN,1.0,0.008,2-basis-dual,7,no,yes,yes,4558.5,2026-09-21T11:04:47Z
@fxtradingvision,84255,2026-09-03T09:57:09Z,LONG,XAUUSD,4425.0,4474.1,4429.0,4430.0,4475.0,4400.0,WIN,2026-09-03T11:05:00Z,4476.7,2.6,3.0,-0.4,74.1001,-4.0,-0.005,47.7,market,1.4,WIN,1.0,0.04,2-basis-dual,14,no,yes,yes,4558.5,2026-09-21T11:04:47Z
@fxtradingvision,84278,2026-09-03T11:37:08Z,LONG,XAUUSD,4435.0,4481.8,4439.0,4440.0,4475.0,4410.0,WIN,2026-09-03T11:45:00Z,4486.5,4.7,3.0,1.7,71.7998,17.0,0.024,47.5,market,-0.7,WIN,1.0,0.04,2-basis-dual,2,no,yes,yes,4558.5,2026-09-21T11:04:47Z
@fxtradingvision,84311,2026-09-03T13:46:48Z,LONG,XAUUSD,4464.0,4505.1,4468.0,4469.0,4500.0,4440.0,WIN,2026-09-03T13:55:00Z,4515.05,9.95,3.0,6.95,65.1001,69.5,0.107,47.05,market,-5.95,WIN,1.0,0.042,2-basis-dual,2,no,yes,yes,4558.5,2026-09-21T11:04:47Z
@fxtradingvision,84317,2026-09-03T14:54:33Z,LONG,XAUUSD,4475.0,4523.5,4479.0,4480.0,4500.0,4455.0,WIN,2026-09-03T14:55:00Z,4526.3,2.8,3.0,-0.2,68.5,-2.0,-0.003,47.3,market,1.2,WIN,1.0,0.05,2-basis-dual,1,no,yes,yes,4558.5,2026-09-21T11:04:47Z
@fxtradingvision,84358,2026-09-04T06:59:07Z,SHORT,XAUUSD,4462.0,4509.3,4458.0,4457.0,4430.0,4480.0,LOSS,2026-09-04T07:40:00Z,4526.8,-17.5,3.0,-20.5,29.2998,-205.0,-0.7,46.8,market,0.5,LOSS,-21.0,-1.167,2-basis-dual,9,no,no,no,4508.0,2026-09-21T11:04:47Z
@fxtradingvision,84365,2026-09-04T07:37:35Z,SHORT,XAUUSD,4476.0,4521.9,4472.0,4471.0,4430.0,4500.0,WIN,2026-09-04T09:10:00Z,4518.35,3.55,3.0,0.55,21.8999,5.5,0.025,46.35,market,-0.45,WIN,1.0,0.042,2-basis-dual,19,no,yes,yes,4412.0,2026-09-21T11:04:47Z
@fxtradingvision,84394,2026-09-04T12:42:05Z,LONG,XAUUSD,4398.0,4440.6,4402.0,4403.0,4430.0,4375.0,WIN,2026-09-04T12:50:00Z,4447.2,6.6,3.0,3.6,65.6001,36.0,0.055,45.2,market,-2.6,WIN,1.0,0.043,2-basis-dual,2,no,yes,yes,4456.9,2026-09-21T11:04:47Z
@fxtradingvision,84398,2026-09-04T12:48:47Z,SHORT,XAUUSD,4385.0,4443.2,4381.0,4380.0,4350.0,4410.0,LOSS,2026-09-04T12:50:00Z,4455.2,-12.0,3.0,-15.0,33.2002,-150.0,-0.452,45.2,market,13.0,WIN,1.0,0.04,2-basis-dual,1,no,no,no,4442.3,2026-09-21T11:04:47Z
